calls,minutes,messages,mb_used,is_ultra
40,271.40999999999997,20,17284.450000000004,0
33,259.06999999999994,60,17204.030000000002,0
92,632.45,22,20221.48,1
31,213.76999999999998,0,16656.539999999997,0
32,191.44,13,8557.660000000002,0
95,672.7799999999999,15,3315.7599999999998,1
51,385.45,81,13649.650000000001,0
39,257.93,15,6572.610000000001,0
23,99.20000000000002,21,17001.870000000003,0
65,459.14000000000004,10,21739.819999999996,0
30,216.99,58,13507.58,0
83,631.1499999999999,0,18984.999999999996,0
25,190.95000000000002,37,14253.530000000004,0
25,191.05999999999997,11,8022.790000000002,0
48,346.19000000000005,103,27346.62000000001,1
35,267.66999999999996,25,18231.829999999998,0
66,493.57000000000005,91,18527.959999999992,0
57,373.00999999999993,0,13759.77,0
62,365.4599999999999,113,34224.57000000001,1
87,531.47,6,12498.45,0
63,487.13999999999993,103,17265.059999999994,0
98,729.8299999999999,105,18675.649999999998,1
28,176.98000000000002,0,17970.04,0
110,881.0599999999998,72,11441.180000000002,0
71,527.6599999999999,21,10541.220000000003,0
17,153,48,4894.599999999999,1
54,418.34000000000003,85,15291.949999999997,0
111,717.1600000000001,191,38287.82,1
93,620.0300000000002,32,18175.55,0
23,140.59000000000003,23,19201.75,0
36,267.58,13,12737.080000000004,0
64,431.9499999999999,24,28294.619999999988,0
42,260.94,79,17519.929999999997,1
57,412.38000000000017,50,15988.969999999998,0
85,568.7199999999998,0,18009.33,0
76,513.55,50,14584.730000000005,1
48,336.38,14,21902.409999999996,0
56,469.4899999999999,145,15877.649999999998,1
113,731.7800000000001,15,32645.760000000002,1
9,65.65,11,1845.76,0
3,20.83,41,16736.310000000005,0
5,27.009999999999998,0,2207.2700000000004,0
183,1247.0400000000004,150,29186.41,1
121,765.6099999999999,53,21445.050000000003,1
156,1058.2199999999998,59,18932.659999999996,1
65,471.5199999999999,7,15415.810000000005,0
15,107.44999999999999,49,35656.299999999996,1
0,0,35,16444.989999999998,1
127,748.44,0,19369.14999999999,0
47,340.53,57,12615.160000000002,0
68,492.74999999999994,22,20559.089999999997,0
84,520.6099999999999,58,19323.419999999995,0
50,308.4800000000001,51,21387.26,0
106,802.98,171,12136.63,1
72,478.48999999999984,0,19817.839999999997,0
40,225.88999999999996,12,13581.940000000004,0
38,268.84000000000003,9,13197.150000000001,0
23,188.31999999999996,62,21707.03,1
86,589.4299999999998,9,21046.69,0
96,709.88,176,33321.88,1
117,832.7800000000001,52,2949.68,1
58,414.18,27,23854.759999999995,0
52,365.85,91,16879.69,1
68,466.21000000000004,48,15896.270000000004,0
0,0,21,19559.549999999996,0
60,442.02,16,18306.449999999997,1
15,115.74000000000001,8,2346.7,0
52,371.8599999999999,21,30388.51999999999,0
95,705.7899999999998,68,35108.24999999999,0
47,324.79999999999995,75,14003.65,1
59,441.8900000000001,5,25106.389999999996,1
62,509.3799999999999,40,21096.529999999988,1
69,564.01,26,15656.78,0
81,541.46,48,21839.61999999999,0
60,442.36,0,16446.230000000003,0
46,344.02,35,20693.459999999992,0
56,388.0600000000001,59,16033.760000000004,0
72,493.9300000000001,36,16599.52,0
38,304.05,0,14252.150000000001,1
31,234.20000000000002,99,25545.469999999994,0
68,413.19999999999993,29,13526.610000000002,1
58,373.48999999999995,50,13561.88,0
2,5.61,27,2866.41,1
40,334.50000000000006,0,21505.559999999994,0
32,284.33,30,11559.500000000002,0
16,93.79,103,19428.219999999998,1
45,314.63999999999993,14,7332.790000000002,0
4,19.33,7,3431.0199999999995,1
78,494.84,28,17029.770000000004,0
43,299.87,76,15787.74,1
69,427.53,56,16205.780000000002,1
123,873.57,71,4153.55,1
86,567.5799999999999,47,16861.08,1
9,83.22999999999999,0,14571.789999999999,1
69,512.4599999999999,6,20024.919999999995,0
76,544.5300000000001,0,13389.350000000002,0
107,831.3699999999994,3,28836.529999999988,0
85,490.2500000000001,57,16663.029999999995,0
127,773.59,21,18982.5,1
43,235.81,43,23859.259999999995,1
54,344.25999999999993,52,9501.030000000002,0
62,404.80999999999995,78,16948.05,0
89,596.72,0,16321.469999999998,1
68,387.0499999999999,73,17147.510000000002,0
90,707.16,50,19860.989999999998,1
57,347.66,16,22003.749999999996,0
36,250.88000000000002,49,18965.020000000008,0
54,312.85,10,7798.270000000002,0
28,206.12000000000003,118,22591.449999999993,1
102,700.76,0,8674.590000000002,1
71,593.7900000000002,64,7543.67,0
87,619.6800000000001,26,21650.13000000001,0
97,733.11,63,13156.810000000003,0
15,104.41,17,4677.85,1
14,79.26,32,8246.639999999998,0
87,593.3,17,17416.760000000002,0
67,502.94000000000005,37,17033.1,1
56,420.20000000000016,40,14418.039999999999,0
96,639.48,33,21557.059999999994,0
89,648.8300000000002,27,20315.4,0
83,594.1,52,19667.05,0
38,237.78,5,4905.5,0
111,745.0000000000002,132,21100.460000000003,1
68,444.1,0,19352.930000000004,0
24,170.06,28,17305.610000000004,0
30,175.95,13,12521.550000000001,0
85,608.89,84,30357.439999999995,1
83,597.15,19,22407.69,0
69,442.9599999999999,99,26423.479999999992,0
52,399.87000000000006,81,14055.95,1
52,423.56000000000006,118,14503.800000000003,1
13,104.03000000000002,2,7350.169999999999,0
69,404.9,51,16805.649999999998,0
93,687.92,78,16290.940000000002,0
80,569.4700000000003,14,36524.03999999999,0
60,458.82999999999987,51,11706.319999999998,0
11,70.49999999999999,0,2042.7399999999998,0
57,415.75000000000006,66,10105.48,0
55,363.71000000000015,31,16303.01,0
108,676.2900000000002,71,18193.56,0
52,305.64000000000004,67,15329.36,0
108,728.6800000000002,4,14340.84,1
23,145.75,21,11655.67,0
78,477.0699999999998,0,17862.300000000003,1
65,450.61999999999983,50,25264.00999999999,0
79,469.67999999999995,16,20221.06,0
54,394.52,59,16207.41,0
24,151.72,23,5957.73,0
77,522.6500000000001,14,19462.45,0
56,418.4,39,25111.529999999995,0
65,423.0599999999999,40,18625.970000000005,0
0,0,8,35525.61,1
33,191.55999999999997,18,25160.61999999999,0
68,493.0000000000001,29,20021.73,0
39,258.0199999999999,0,19998.8,0
29,203.9,0,39969.13999999999,1
1,11.54,111,32758.530000000002,1
39,221.17999999999998,59,17865.229999999992,0
63,384.98999999999995,66,18007.589999999997,0
58,383.34000000000003,5,8434.199999999999,0
81,566.1,0,23426.079999999994,0
72,497.9299999999999,46,12651.410000000002,0
46,272.85,40,19628.840000000004,0
110,714.1600000000001,2,35136.05999999998,0
45,358.33,36,15723.080000000002,1
20,131.97,23,26720.16999999999,1
64,353.8499999999999,36,17413.749999999996,0
61,342.96,21,16578.27,0
31,185.63000000000002,101,14344.720000000001,0
59,338.24999999999994,18,18220.57,0
63,427.64999999999986,96,25048.129999999997,0
104,701.8199999999998,91,8003.980000000003,0
100,626.94,43,22690.350000000006,1
106,796.4099999999995,1,9969.67,1
64,473.11,0,20822.070000000003,0
81,533.3399999999999,0,8609.950000000003,0
51,326.4399999999998,16,14514.980000000001,0
56,390.22,40,19645.629999999997,0
65,483.74,30,17996.600000000002,0
51,426.24,112,5661.23,0
31,246.32,95,9659.38,1
82,521.66,30,13396.91,1
144,906.18,0,25002.440000000002,1
49,237.73,52,15761.94,0
108,729.07,55,16094.82,0
86,702.31,32,22376.359999999997,0
19,147.72000000000003,20,19476.829999999994,0
39,284.06,47,10678.960000000005,0
64,453.4200000000001,41,11830.26,0
118,908.6099999999998,54,29678.600000000002,1
0,0,25,19088.670000000002,1
40,238.61999999999992,16,24437.019999999997,0
55,413.69,39,14360.590000000002,0
99,685.9799999999998,51,18531.71,1
132,932.68,65,29263.639999999992,1
131,828.18,89,19368.519999999997,1
55,348.02000000000004,46,16121.99,0
80,547.0100000000001,54,21265.569999999996,0
85,527.02,4,14368.420000000006,0
32,235.03000000000003,16,18587.389999999996,0
40,321.55,23,13138.649999999998,0
49,310.83000000000004,0,19977.679999999997,0
64,544.9499999999999,30,17090.92,0
40,285.7699999999999,6,19721.429999999993,0
30,169.01999999999995,13,16626.530000000006,0
73,545.1699999999998,71,21193.03999999998,0
89,580.69,0,19640.229999999996,0
59,433.04999999999995,37,24465.89999999999,0
86,583.98,0,17230.890000000003,0
63,440.73999999999995,46,15677.49,1
33,220.24,15,6547.660000000001,0
1,1.78,38,20171.209999999995,0
89,716.92,22,29139.659999999996,1
67,424.20000000000016,37,31466.890000000003,1
9,85.77000000000001,1,1600.29,0
62,462.40999999999997,143,16369.410000000002,1
53,374.43,31,15505.15,0
74,539.5099999999999,27,7732.230000000001,1
15,96.36,3,2827.2900000000004,0
91,686.38,62,20499.92,0
67,505.2,25,16225.710000000001,0
78,483.22,28,9210.4,1
120,694.9000000000003,0,21547.26,1
91,599.4899999999997,40,28356.320000000003,1
117,732.15,25,32503.739999999998,0
91,605.7499999999999,36,9388.430000000002,0
36,198.95999999999992,32,21596.859999999997,0
80,588.9799999999998,2,21673.459999999995,0
77,483.5799999999998,68,13806.440000000004,0
42,350.73999999999995,21,20296.630000000005,0
136,926.2099999999998,0,35948.16000000002,1
9,69.35000000000002,3,372.56,0
54,355.46999999999997,22,11696.300000000003,0
54,424.61,66,22395.619999999995,0
33,265.16999999999996,59,17398.020000000004,0
94,649.9199999999998,32,18341.97000000001,0
91,598.6400000000001,33,28524.789999999994,1
71,501.9399999999998,33,16853.730000000003,0
79,533.9500000000002,46,24959.089999999997,0
52,342.1,4,17785.850000000002,0
71,445.03999999999996,29,10051.920000000004,0
83,521.4500000000002,45,10776.550000000001,0
33,286.41999999999996,12,4515.4400000000005,0
61,435.68000000000006,0,23089.73,0
69,437.91,56,18723.159999999993,0
88,706.77,0,25104.670000000002,1
93,680.5900000000003,70,16376.46,1
111,756.6199999999998,43,30135.269999999997,0
6,39.199999999999996,12,14792.060000000003,0
115,849.21,52,22433.769999999997,1
7,48.39,16,4016.9400000000005,1
90,646.3100000000003,51,22061.76,1
26,198.05,19,11336.44,0
66,492.53999999999996,15,22247.070000000003,0
91,587.5799999999997,27,19701.359999999997,0
37,225.46000000000004,40,23909.469999999998,1
76,593.7700000000001,0,11311.210000000001,1
99,642.8100000000001,45,10187.06,1
63,368.31,32,14986.58,0
4,27.050000000000004,39,7382.23,1
113,817.3700000000002,91,28505.879999999994,1
176,1167.7899999999997,48,32441.14,1
85,540.1999999999999,57,17836.840000000007,1
34,247.29000000000002,77,11925.400000000003,0
87,586.9799999999999,56,13389.110000000004,0
43,325.0399999999999,58,14756.480000000001,1
71,408.7900000000001,70,22576.01,0
11,84.02000000000001,13,6226.93,0
41,289.32000000000005,51,17006.249999999996,0
94,593.8,79,28244.59,1
55,392.47000000000014,89,20475.900000000005,0
89,528.61,53,16019.28,0
99,710.2000000000002,64,23674.039999999997,0
49,345.73,44,7879.6799999999985,0
48,395.7099999999999,118,12491.750000000004,1
36,234.23999999999995,0,34315.22999999999,1
52,378.36,25,22201.199999999997,1
47,322.44000000000005,11,11420.070000000005,0
32,322.09,0,19207.439999999995,0
49,356.15,26,23139.569999999992,1
56,359.5200000000001,0,16199.160000000007,0
158,1168.0600000000006,103,20018.789999999997,1
160,1084.0500000000002,95,36843.92000000001,1
77,593.4499999999999,0,20770.04,0
0,0,191,32448.019999999993,1
88,640.6300000000003,27,21251.049999999996,0
107,653.6999999999999,94,15584.229999999998,1
33,242.84000000000006,48,25740.70999999999,0
54,341.12,0,15521.640000000003,0
53,341.14,64,14442.639999999998,0
56,334.29,82,21969.010000000002,0
79,595.66,30,23219.679999999993,0
164,1090.24,137,21247.07,1
31,210.43999999999997,19,27437.42999999999,0
66,476.0800000000001,25,18329.03,0
66,475.83,0,18902.979999999996,0
96,597.8000000000001,45,13214.800000000001,0
36,239.79,0,14611.030000000002,0
78,512.2300000000001,79,13758.549999999997,0
48,305.57,35,9183.85,0
52,313.56000000000006,40,19024.149999999998,0
76,502.55000000000007,0,7598.25,1
68,495.55000000000007,101,15385.73,0
118,726.1300000000002,27,22022.280000000006,1
59,437.48999999999984,23,6037.690000000001,0
169,1111.51,53,27728.780000000006,1
46,338.5999999999999,35,11428.539999999999,0
4,22.310000000000002,7,4159.19,0
129,909.6500000000004,79,38939.12,1
69,460.05999999999983,0,27802.780000000002,0
83,597.8299999999998,0,16273.020000000004,0
32,182.45,13,16552.760000000002,0
118,796.3199999999999,3,17905.670000000002,1
72,535.5599999999998,47,21684.879999999994,0
76,510.55,43,17208.459999999995,0
22,142.17,30,8035.0700000000015,0
53,385.59,63,16987.839999999997,0
36,229.48999999999998,0,5579.28,1
69,506.54999999999995,85,12625.78,0
22,131.53,5,4877.9400000000005,0
90,564.83,61,24365.440000000006,1
39,310.55000000000007,14,14709.320000000002,0
79,565.3000000000001,82,18082.45,0
102,658.4100000000002,23,21392.679999999993,0
33,281.77000000000004,75,13933.009999999998,1
75,535.72,30,9892.159999999998,1
26,194.24,31,11663.689999999999,0
67,458.14,24,22320.919999999995,0
58,348.48999999999995,11,18960.550000000003,0
105,705.0500000000001,18,22130.739999999987,1
9,34.29,95,13403.98,1
60,476.07999999999987,63,14328.81,0
75,496.06,14,13850.84,1
78,475.54999999999984,17,20927.160000000007,0
88,603.5699999999999,86,12832.190000000002,0
44,331.9800000000001,21,16617.79,0
6,33.239999999999995,3,690.02,0
71,576.6200000000001,6,14677.770000000006,0
48,328.54,25,13681.410000000005,0
71,468.0799999999999,12,22654.23000000001,0
2,1.99,0,616.65,1
152,997.3299999999998,82,29363.059999999998,1
107,729.4400000000003,153,32990.68000000001,1
66,432.02,54,24008.36,0
50,447.14,15,18239.470000000012,0
60,466.61,67,18507.05,0
65,458.46,0,15214.25,1
30,169.88000000000002,23,24141.48,0
69,512.2499999999999,25,11084.53,0
81,560.6800000000001,21,16369.730000000001,0
100,693.2099999999999,49,5451.259999999999,1
0,0,24,18701.54,1
16,132.8,107,21893.349999999995,1
177,1228.53,0,26231.199999999993,1
58,390.8700000000001,0,22979.12,0
81,558.11,0,12723.520000000002,0
27,181.72999999999996,6,11873.300000000001,1
22,152.35999999999996,16,7023.279999999999,0
161,1218.6699999999992,11,5749.009999999999,1
27,183.79999999999998,118,27705.14,1
89,563.8699999999999,98,16051.560000000003,0
46,333.24000000000007,6,20286.27999999999,0
35,229.53000000000003,66,17303.539999999997,0
33,164.87,26,6290.25,0
30,247.69,0,16263.38,0
112,856.9000000000002,0,28002.43999999999,0
37,244.57999999999993,0,22306.88999999999,0
96,651.1899999999999,86,13217.01,0
13,118.50999999999999,7,10174.47,0
83,590.4700000000001,103,27851.01,0
30,192.85999999999999,0,22310.459999999992,0
61,460.40999999999997,48,12187.390000000005,0
24,213.76,21,0,1
39,247.54999999999995,50,15333.739999999998,0
11,77.93999999999998,28,25052.43999999998,0
90,566.25,55,18688.369999999995,0
72,498.89,71,17450.9,1
53,329.84999999999997,144,38309.87000000001,1
8,55.129999999999995,0,1841,0
53,411.85,0,17924.059999999998,0
43,321.63000000000005,42,25599.870000000003,1
98,676.6200000000001,67,10705.210000000001,1
28,226.24,23,15501.6,0
41,227.58000000000004,0,20292.33,0
117,779.5,0,11308.650000000001,1
62,460.53,23,25559.050000000003,0
6,51.080000000000005,16,20634.980000000007,1
43,302.11,0,34506.26000000001,1
81,565.64,40,15323.58,1
100,706.8899999999999,44,7800.95,0
83,510.22999999999996,0,14333.710000000005,0
60,419.0199999999998,21,11407.519999999999,1
11,73.47000000000001,20,8602.190000000002,0
96,679.6100000000004,19,16174.209999999994,0
99,713.4900000000002,37,17294.52999999999,0
107,692.17,0,15423.29,0
88,656.9100000000002,77,28517.949999999997,1
46,284.59999999999997,59,24761.409999999985,0
59,442.1999999999999,6,15932.890000000003,0
6,49.980000000000004,98,27477.409999999993,1
65,396.13999999999993,40,12058.600000000002,0
97,798.5300000000003,75,16249.130000000001,0
27,208.67000000000002,30,26672.130000000005,1
70,509.42,90,15614.340000000004,1
10,96.28999999999999,20,3184.72,1
24,135.33,33,15479.480000000007,0
41,229.02000000000007,141,15004.959999999997,1
108,820.0700000000003,83,14768.140000000001,1
12,71.93,44,10880.75,1
51,368.2,30,20699.67,0
84,517.0500000000001,81,10945.580000000002,1
99,690.0399999999997,62,19128.750000000004,0
65,456.9599999999999,0,41613.580000000016,1
61,474.97999999999985,35,19985.210000000003,0
69,563.7799999999997,41,21020.21,0
75,486.6299999999999,66,24650.839999999982,0
52,342.07000000000005,27,28029.079999999998,1
85,622.2099999999999,59,17365.920000000002,0
65,490.2599999999999,76,30307.389999999996,1
57,390.0400000000001,62,24235.299999999996,0
76,484.2700000000001,49,10474.86,0
67,505.34000000000003,79,31408.789999999994,1
34,205.20000000000002,0,28731.359999999993,1
2,16.23,0,1162.99,1
43,352.81999999999994,0,19746.08999999999,0
77,502.87000000000006,5,6928.000000000001,0
38,300,65,19261.1,0
73,540.96,12,13501.000000000002,0
71,447.1199999999999,7,21781.36,1
123,947.7099999999999,57,24046.85999999999,1
44,271.16,0,12749.160000000002,1
69,389.8900000000001,103,22633.64000000001,0
65,542.54,3,12696.640000000001,1
81,591.3399999999999,28,21446.759999999995,0
71,473.05,90,17521.75,0
69,524.5800000000002,79,20765.07,0
92,628.4700000000001,72,16839.519999999997,0
100,751.8199999999999,57,19204.32,0
121,707.1599999999999,75,37165.83,0
18,123.75000000000001,0,4383.900000000001,0
47,340.17999999999995,86,13022.890000000001,1
15,131.79,0,3456.390000000001,0
27,200.26,90,15345.739999999998,1
136,965.7800000000002,0,31992.100000000006,1
20,105.00999999999998,0,11663.720000000005,0
84,572.48,5,28775.890000000007,1
23,169.59999999999997,99,24666.749999999993,0
0,0,30,10236.2,1
58,463.2299999999999,60,18512.24,1
72,505.8599999999999,51,11824.800000000001,0
41,244.59,39,0,1
18,147.93,18,1904.0099999999998,1
55,334.62999999999994,26,13896.460000000003,0
65,467.43999999999977,52,19579.55,0
53,478.1800000000001,78,20152.530000000002,0
99,688.7000000000002,16,18758.429999999997,0
45,333.64,39,16542.45,0
82,466.26000000000016,59,16996.029999999995,0
48,325.93,37,13603.070000000005,0
71,471.44000000000005,45,17489.44,1
11,66.00000000000001,0,7039.120000000001,0
23,133.41,24,28724.229999999996,0
34,262.07,36,7939.290000000001,1
35,253.17000000000002,22,20553.169999999987,0
117,739.2700000000001,124,22818.559999999998,1
49,309.64,59,11973.190000000002,0
100,660.7799999999999,26,20396.99,1
87,549.2900000000001,0,21637.149999999994,0
94,683.19,18,19308.01,1
88,608.2000000000003,22,15521.15,0
33,241.74999999999997,9,23708.499999999985,0
82,565.18,0,21258.91,1
47,308.22999999999996,59,10624.740000000003,0
32,221.59000000000003,44,17783.869999999995,0
89,601.4599999999999,129,25208.53,1
31,176.39999999999998,31,16673.38,0
28,163.17000000000002,7,13371.919999999998,0
64,507.20000000000005,107,14515.450000000004,0
75,529.17,0,10435.470000000001,0
58,434.8400000000002,20,18910.829999999994,0
126,848.9200000000002,57,19967.049999999996,0
9,77.82000000000001,0,14733.169999999998,1
78,515.8900000000001,49,17368.65,0
97,772.35,66,10523.419999999998,1
96,687.1900000000003,0,24529.99000000001,0
63,420.23999999999995,51,10497.710000000001,0
79,562.99,19,25508.190000000002,1
62,371.18,7,18076.460000000003,0
111,633.0500000000001,94,8792.86,1
33,130.76,0,20875.629999999994,0
45,329.1,23,21874.539999999994,0
24,136.24,11,15174.05,0
86,662.2599999999999,0,18820.25,0
156,999.5299999999992,114,21535.16,1
40,289.22,22,19352.499999999993,1
77,455.5800000000001,29,18446.11999999999,0
56,338.16999999999996,37,21337.739999999987,0
64,466.40000000000003,33,14327.240000000002,0
16,105.46000000000001,3,0.01,1
69,446.25,17,14370.540000000005,0
46,372.3400000000002,49,20043.06,0
77,513.62,14,14269.95,0
64,453.87000000000006,32,13233.030000000002,0
28,195.36,29,11179.930000000002,0
72,426.24999999999994,129,21735.129999999997,0
41,284.87,73,16613.09,0
64,436.07000000000005,51,19451.62,0
61,396.32,0,36298.13,1
18,109.60000000000002,14,766.23,0
77,571.62,7,17096.14,1
73,503.81999999999994,10,21462.199999999993,0
70,468.61,28,22586.680000000004,0
68,458.1499999999999,137,10933.270000000002,1
